drugs_CUI,Name
C0008196,chlorhexidine
C0030125,aminosalicylic acid
C0032334,podofilox
C0893761,lacosamide
C5139676,risdiplam
C0034392,quercetin
C0114771,dofetilide
C0282151,dopamine hydrochloride
C0003204,Anti-Infective Agents
C0071649,polyphenols
C4033633,ivacaftor / lumacaftor
C0034414,quinidine
C0031447,phentermine
C0008996,clofazimine
C0164398,atosiban
C1142738,anidulafungin
C5139890,faricimab
C0070455,permethrin
C0008402,cholestyramine resin
C1143018,obeticholic acid
C0005330,bezafibrate
C0521941,Antiresorptive Agents
C0005308,betamethasone
C0037135,silymarin
C0244656,fosphenytoin
C0593802,Aromatase Inhibitors
C0035527,riboflavin
C0003290,Tricyclic Antidepressive Agents
C0085173,terfenadine
C0173083,nitisinone
C2717561,riociguat
C0065180,loratadine
C0066837,moxonidine
C0077857,urapidil
C0056077,Error: 404
C0050940,lansoprazole
C0003440,Antithrombins
C0006886,cantharidin
C0041942,urea
C0073917,bucillamine
C0022625,ketoconazole
C0056562,crystalloid solutions
C0069454,olsalazine
C0017245,gemfibrozil
C0532578,voglibose
C1700695,sugammadex
C0034261,pyridostigmine
C0003370,Antilymphocyte Globulin
C0718050,sevelamer
C0030095,oxytocin
C0055147,cetirizine
C0016293,flumazenil
C0249458,valacyclovir
C0253563,eptifibatide
C1562292,Incretins
C0008287,chlorpropamide
C0903898,nateglinide
C0030040,oxprenolol
C0282519,Reverse Transcriptase Inhibitors
C0031463,phenylbutazone
C0165631,adapalene
C0663655,abacavir
C4042342,abaloparatide
C0965390,abarelix
C3852841,abemaciclib
C2607886,abiraterone acetate
C4078312,acalabrutinib
C0000948,aceclidine
C0050403,aceclofenac
C0050405,acefylline
C0050409,acemetacin
C0000956,acenocoumarol
C0608826,aceprometazine
C0050436,acetarsol
C0000983,acetic acid
C0000992,acetohexamide
C0050451,acetohydroxamic acid
C0050458,acetophenazine
C0050521,acetoxolone
C0001040,acetylcarnitine
C0520442,acetyldigitoxin
C0025607,methadyl acetate
